Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
23,parametric_row_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.677,0.099,0.099,396.790,397.275
23,parametric_col_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.008,397.350
23,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.052,397.256
23,parametric_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.098,397.803
24,parametric_row_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,1.238,0.163,0.163,216.931,217.077
24,parametric_col_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,0.676,0.298,0.298,396.991,397.318
24,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,0.677,0.297,0.298,396.591,397.036
24,parametric_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,0.676,0.298,0.298,396.854,397.224
25,parametric_row_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,3.114,0.216,0.216,86.242,86.282
25,parametric_col_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.676,0.992,0.993,397.025,397.309
25,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.679,0.988,0.989,395.427,395.623
25,parametric_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.975,0.689,0.689,275.542,275.753
26,parametric_row_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,9.272,0.239,0.239,28.981,28.983
26,parametric_col_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,0.677,3.273,3.275,397.079,397.344
26,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,0.688,3.220,3.223,390.724,391.107
26,parametric_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,0.980,2.259,2.260,274.089,274.199
27,parametric_row_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,26.347,0.250,0.259,10.219,10.610
27,parametric_col_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,0.677,9.708,9.716,397.417,397.774
27,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,0.696,9.451,9.473,386.908,387.800
27,parametric_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,1.525,4.312,4.313,176.512,176.584
28,parametric_row_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,34.460,0.319,0.333,7.829,8.174
28,parametric_col_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,0.971,11.329,11.337,277.698,277.899
28,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.020,10.795,10.802,264.602,264.781
28,parametric_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.526,7.213,7.218,176.810,176.928
