Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
17,parametric_row_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.278,0.121,0.121,965.166,967.336
17,parametric_col_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.242,0.139,0.139,1108.961,1110.797
17,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.242,0.139,0.139,1110.208,1112.122
17,parametric_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.243,0.138,0.139,1106.037,1110.797
18,parametric_row_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.566,0.207,0.208,474.272,474.924
18,parametric_col_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.244,0.481,0.486,1098.936,1110.839
18,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.244,0.482,0.482,1100.782,1101.938
18,parametric_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.245,0.479,0.481,1095.478,1100.204
19,parametric_row_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,1.463,0.229,0.229,183.519,183.618
19,parametric_col_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.242,1.386,1.388,1108.703,1110.949
19,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.246,1.363,1.371,1090.956,1097.004
19,parametric_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.247,1.358,1.364,1086.731,1091.723
20,parametric_row_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,4.640,0.239,0.239,57.885,57.910
20,parametric_col_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,0.242,4.580,4.583,1110.884,1111.634
20,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,0.257,4.315,4.325,1046.502,1049.105
20,parametric_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,0.294,3.769,3.778,914.094,916.249
21,parametric_row_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,13.671,0.242,0.242,19.665,19.670
21,parametric_col_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.242,13.666,13.687,1111.614,1113.337
21,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.295,11.213,11.246,912.068,914.769
21,parametric_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.399,8.289,8.297,674.214,674.907
22,parametric_row_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,17.704,0.621,0.621,15.238,15.242
22,parametric_col_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,0.328,33.467,33.536,821.617,823.302
22,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,0.375,29.277,29.349,718.740,720.503
22,parametric_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,0.766,14.349,14.366,352.274,352.686
