Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
2,parametric_row_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,17.428,3.142,3.151,15.786,15.830
2,parametric_col_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,1.303,42.016,42.042,211.088,211.220
2,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,1.323,41.396,41.423,207.976,208.112
2,parametric_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,2.384,22.970,22.974,115.404,115.425
3,parametric_row_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,17.378,6.302,6.311,16.216,16.238
3,parametric_col_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,2.383,45.957,45.982,118.251,118.313
3,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,2.397,45.697,45.707,117.580,117.607
3,parametric_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,3.459,31.660,31.665,81.462,81.477
4,parametric_row_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,17.382,15.814,15.816,17.374,17.376
4,parametric_col_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,4.522,60.790,60.802,66.786,66.799
4,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,5.065,54.268,54.274,59.620,59.627
4,parametric_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,6.659,41.282,41.288,45.354,45.360
5,parametric_row_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,17.381,31.629,31.631,19.305,19.306
5,parametric_col_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,8.829,62.264,62.283,38.003,38.015
5,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,10.452,52.598,52.609,32.103,32.110
5,parametric_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,12.031,45.694,45.695,27.890,27.890
